entity_id,entity_name,segment,owner
BAN001,Banking workflow 1,Core,Revenue
BAN002,Banking workflow 2,Strategic,Customer
BAN003,Banking workflow 3,Growth,Analytics
BAN004,Banking workflow 4,Watch,Operations
BAN005,Banking workflow 5,Watch,Product
BAN006,Banking workflow 6,Strategic,Analytics
BAN007,Banking workflow 7,Growth,Operations
BAN008,Banking workflow 8,Growth,Operations
BAN009,Banking workflow 9,Growth,Revenue
BAN010,Banking workflow 10,Strategic,Operations
BAN011,Banking workflow 11,Strategic,Analytics
BAN012,Banking workflow 12,Growth,Operations
BAN013,Banking workflow 13,Strategic,Operations
BAN014,Banking workflow 14,Strategic,Operations
BAN015,Banking workflow 15,Growth,Operations
BAN016,Banking workflow 16,Core,Revenue
BAN017,Banking workflow 17,Growth,Customer
BAN018,Banking workflow 18,Strategic,Operations
BAN019,Banking workflow 19,Watch,Operations
BAN020,Banking workflow 20,Core,Analytics
BAN021,Banking workflow 21,Core,Revenue
BAN022,Banking workflow 22,Watch,Customer
BAN023,Banking workflow 23,Watch,Revenue
BAN024,Banking workflow 24,Core,Revenue
BAN025,Banking workflow 25,Core,Analytics
BAN026,Banking workflow 26,Core,Product
BAN027,Banking workflow 27,Watch,Customer
BAN028,Banking workflow 28,Growth,Product
BAN029,Banking workflow 29,Growth,Operations
BAN030,Banking workflow 30,Core,Operations
BAN031,Banking workflow 31,Watch,Analytics
BAN032,Banking workflow 32,Core,Revenue
BAN033,Banking workflow 33,Strategic,Operations
BAN034,Banking workflow 34,Watch,Customer
BAN035,Banking workflow 35,Growth,Product
BAN036,Banking workflow 36,Growth,Analytics
